X_h	M_min	N_ion	R_mfp
0.165	51.58	95.79	5.73
0.385	633.68	181.05	26.48
0.511	675.26	162.11	17.26
0.67	425.79	67.37	19.57
0.58	592.11	114.74	40.32
0.0	10.0	86.32	24.18
0.348	633.68	190.53	28.79
0.481	93.16	38.95	10.34
0.697	758.42	190.53	5.73
0.445	10.0	15.0	20.0
0.0	10.0	114.74	26.48
0.556	508.95	105.26	35.71
0.904	675.26	29.47	10.34
0.718	259.47	38.95	19.57
0.837	508.95	38.95	14.96
0.648	633.68	114.74	10.34
0.05	259.47	143.16	35.71
0.692	384.21	57.89	31.1
0.817	800.0	67.37	24.18
0.687	716.84	105.26	14.96
0.0	10.0	76.84	26.48
0.887	758.42	38.95	40.32
0.038	176.32	190.53	17.26
0.809	301.05	29.47	31.1
0.685	592.11	86.32	35.71
0.824	467.37	38.95	31.1
0.872	301.05	20.0	35.71
0.349	550.53	171.58	24.18
0.272	301.05	124.21	19.57
0.63	675.26	114.74	31.1
0.0	176.32	181.05	33.4
0.047	384.21	200.0	38.01
0.193	384.21	152.63	31.1
0.782	758.42	76.84	12.65
0.809	301.05	29.47	33.4
0.283	342.63	143.16	17.26
0.872	301.05	20.0	31.1
0.427	301.05	86.32	31.1
0.262	467.37	162.11	31.1
0.567	800.0	162.11	21.87
0.361	467.37	171.58	14.96
0.817	800.0	67.37	38.01
0.667	675.26	114.74	10.34
0.172	176.32	95.79	21.87
0.456	342.63	105.26	12.65
0.968	675.26	86.32	1.12
0.403	467.37	190.53	10.34
0.776	134.74	20.0	35.71
0.3	592.11	190.53	31.1
0.787	259.47	29.47	24.18
0.923	342.63	124.21	1.12
0.575	425.79	86.32	28.79
0.101	342.63	190.53	24.18
0.429	592.11	162.11	21.87
0.061	10.0	48.42	8.04
0.286	508.95	171.58	28.79
0.282	384.21	133.68	28.79
0.18	217.89	124.21	17.26
0.764	800.0	124.21	5.73
0.465	384.21	114.74	12.65
0.185	10.0	48.42	3.43
0.366	176.32	67.37	19.57
0.626	592.11	190.53	5.73
0.861	758.42	48.42	35.71
0.212	301.05	190.53	12.65
0.475	425.79	105.26	35.71
0.27	93.16	76.84	8.04
0.566	384.21	133.68	5.73
0.538	550.53	181.05	8.04
0.553	384.21	143.16	5.73
0.682	467.37	95.79	5.73
0.53	384.21	95.79	12.65
0.622	425.79	76.84	31.1
0.581	633.68	124.21	19.57
0.004	51.58	181.05	12.65
0.447	592.11	152.63	24.18
0.346	93.16	48.42	14.96
0.379	550.53	162.11	24.18
0.837	508.95	38.95	17.26
0.273	467.37	162.11	28.79
0.875	217.89	143.16	1.12
0.014	301.05	190.53	38.01
0.638	508.95	86.32	38.01
0.837	508.95	38.95	31.1
0.561	800.0	190.53	12.65
0.476	176.32	57.89	12.65
0.651	716.84	114.74	40.32
0.001	10.0	190.53	8.04
0.072	51.58	76.84	12.65
0.432	425.79	200.0	8.04
0.194	550.53	200.0	40.32
0.866	633.68	38.95	35.71
0.004	51.58	143.16	14.96
0.816	259.47	29.47	3.43
0.55	550.53	171.58	8.04
0.6	93.16	38.95	3.43
0.0	51.58	143.16	28.79
0.462	508.95	171.58	10.34
0.342	550.53	181.05	21.87
0.597	301.05	190.53	3.43
0.113	93.16	152.63	8.04
0.694	592.11	86.32	12.65
0.477	425.79	105.26	28.79
0.743	508.95	171.58	3.43
0.587	716.84	152.63	12.65
0.0	10.0	162.11	33.4
0.935	675.26	20.0	35.71
0.766	800.0	86.32	28.79
0.483	342.63	105.26	10.34
0.748	301.05	38.95	31.1
0.176	51.58	38.95	40.32
0.467	384.21	124.21	10.34
0.61	467.37	86.32	24.18
0.096	176.32	181.05	12.65
0.569	675.26	133.68	28.79
0.503	508.95	124.21	17.26
0.916	508.95	20.0	31.1
0.122	384.21	190.53	26.48
0.696	467.37	67.37	40.32
0.823	592.11	48.42	19.57
0.742	384.21	48.42	19.57
0.823	592.11	48.42	26.48
0.574	425.79	86.32	31.1
0.338	550.53	171.58	26.48
0.355	425.79	200.0	10.34
0.592	550.53	105.26	19.57
0.738	716.84	86.32	24.18
0.824	467.37	38.95	17.26
0.811	550.53	48.42	12.65
0.691	800.0	114.74	19.57
0.705	633.68	86.32	21.87
0.356	134.74	67.37	10.34
0.463	467.37	200.0	8.04
0.967	633.68	38.95	1.12
0.35	592.11	171.58	38.01
0.052	10.0	133.68	3.43
0.011	51.58	67.37	26.48
0.013	134.74	200.0	17.26
0.485	342.63	86.32	35.71
0.538	758.42	162.11	24.18
0.824	716.84	57.89	35.71
0.738	716.84	86.32	28.79
0.0	93.16	181.05	38.01
0.843	384.21	29.47	10.34
0.045	176.32	124.21	26.48
0.539	592.11	200.0	8.04
0.412	301.05	105.26	12.65
0.047	342.63	200.0	31.1
0.807	716.84	67.37	8.04
0.666	134.74	29.47	24.18
0.758	217.89	29.47	28.79
0.493	301.05	76.84	38.01
0.007	176.32	143.16	33.4
0.598	217.89	48.42	24.18
0.927	592.11	20.0	10.34
0.118	217.89	200.0	12.65
0.547	342.63	76.84	24.18
0.533	716.84	152.63	31.1
0.672	633.68	95.79	35.71
0.485	592.11	190.53	10.34
0.651	592.11	95.79	21.87
0.811	550.53	48.42	33.4
0.206	176.32	133.68	10.34
0.0	217.89	190.53	40.32
0.379	259.47	86.32	21.87
0.032	217.89	143.16	31.1
0.576	259.47	57.89	33.4
0.881	716.84	38.95	10.34
0.644	758.42	124.21	33.4
0.471	675.26	162.11	33.4
0.716	425.79	57.89	38.01
0.001	10.0	95.79	12.65
0.744	467.37	124.21	3.43
0.03	217.89	171.58	24.18
0.506	217.89	190.53	3.43
0.038	217.89	152.63	26.48
0.974	800.0	190.53	1.12
0.792	800.0	76.84	31.1
0.519	217.89	171.58	3.43
0.497	425.79	152.63	8.04
0.161	301.05	124.21	38.01
0.576	259.47	57.89	26.48
0.122	384.21	200.0	24.18
0.61	800.0	152.63	14.96
0.792	800.0	76.84	33.4
0.562	592.11	133.68	12.65
0.417	508.95	152.63	17.26
0.057	217.89	133.68	28.79
0.15	93.16	67.37	19.57
0.091	301.05	152.63	31.1
0.584	93.16	29.47	35.71
0.789	592.11	57.89	31.1
0.88	800.0	67.37	3.43
0.089	134.74	76.84	38.01
0.97	716.84	124.21	1.12
0.425	217.89	95.79	8.04
0.591	758.42	143.16	24.18
0.722	467.37	76.84	5.73
0.162	301.05	133.68	28.79
0.766	800.0	86.32	26.48
0.297	467.37	162.11	24.18
0.686	301.05	48.42	19.57
0.536	675.26	143.16	35.71
0.438	716.84	181.05	35.71
0.927	592.11	20.0	17.26
0.807	758.42	67.37	38.01
0.539	800.0	181.05	17.26
0.615	342.63	76.84	8.04
0.733	675.26	95.79	8.04
0.286	342.63	152.63	14.96
0.758	217.89	29.47	26.48
0.347	508.95	181.05	17.26
0.837	508.95	38.95	28.79
0.514	301.05	124.21	5.73
0.613	301.05	162.11	3.43
0.239	217.89	86.32	38.01
0.113	176.32	143.16	14.96
0.13	425.79	190.53	31.1
0.548	592.11	152.63	10.34
0.938	384.21	48.42	1.12
0.837	217.89	20.0	17.26
0.0	134.74	181.05	33.4
0.324	134.74	57.89	24.18
0.644	758.42	124.21	38.01
0.585	259.47	76.84	5.73
0.554	217.89	57.89	10.34
0.411	758.42	200.0	38.01
0.533	758.42	181.05	14.96
0.004	10.0	67.37	12.65
0.052	342.63	181.05	35.71
0.935	675.26	20.0	17.26
0.07	134.74	162.11	12.65
0.097	134.74	76.84	35.71
0.5	425.79	124.21	10.34
0.237	176.32	86.32	19.57
0.425	467.37	124.21	35.71
0.679	217.89	38.95	26.48
0.244	10.0	20.0	21.87
0.003	134.74	171.58	24.18
0.73	550.53	76.84	8.04
0.372	716.84	200.0	38.01
0.776	508.95	105.26	3.43
0.624	301.05	57.89	24.18
0.663	800.0	124.21	28.79
0.205	93.16	133.68	5.73
0.572	134.74	38.95	10.34
0.613	800.0	143.16	24.18
0.651	758.42	124.21	17.26
0.0	10.0	57.89	31.1
0.898	633.68	29.47	28.79
0.0	10.0	143.16	28.79
0.528	425.79	95.79	24.18
0.896	259.47	124.21	1.12
0.884	342.63	20.0	33.4
0.16	467.37	190.53	33.4
0.006	134.74	124.21	31.1
0.902	425.79	20.0	21.87
0.404	716.84	190.53	38.01
0.736	550.53	86.32	5.73
0.0	10.0	143.16	26.48
0.824	675.26	114.74	3.43
0.611	758.42	143.16	14.96
0.661	342.63	57.89	19.57
0.763	425.79	48.42	21.87
0.192	301.05	133.68	24.18
0.811	550.53	48.42	19.57
0.687	592.11	86.32	17.26
0.618	800.0	143.16	19.57
0.001	134.74	114.74	40.32
0.962	550.53	29.47	1.12
0.431	716.84	190.53	24.18
0.935	675.26	20.0	24.18
0.817	800.0	67.37	35.71
0.414	51.58	38.95	5.73
0.876	508.95	29.47	26.48
0.59	550.53	105.26	21.87
0.432	217.89	67.37	26.48
0.501	508.95	190.53	8.04
0.635	800.0	200.0	8.04
0.589	384.21	76.84	24.18
0.972	758.42	162.11	1.12
0.662	675.26	105.26	21.87
0.469	716.84	171.58	38.01
0.957	550.53	105.26	1.12
0.627	675.26	133.68	10.34
0.793	384.21	38.95	19.57
0.77	716.84	76.84	12.65
0.748	301.05	38.95	19.57
0.975	800.0	67.37	1.12
0.58	592.11	114.74	35.71
0.29	342.63	133.68	19.57
0.001	134.74	124.21	35.71
0.924	342.63	95.79	1.12
0.973	758.42	57.89	1.12
0.344	176.32	67.37	24.18
0.247	384.21	133.68	40.32
0.0	10.0	152.63	35.71
0.562	550.53	133.68	10.34
0.0	51.58	143.16	35.71
0.0	51.58	114.74	24.18
0.157	425.79	200.0	24.18
0.894	384.21	20.0	17.26
0.812	425.79	38.95	8.04
0.898	633.68	29.47	10.34
0.102	51.58	67.37	12.65
0.794	592.11	124.21	3.43
0.201	217.89	95.79	28.79
0.0	51.58	152.63	28.79
0.653	467.37	76.84	40.32
0.501	301.05	76.84	21.87
0.265	425.79	143.16	38.01
0.237	342.63	200.0	12.65
0.468	550.53	133.68	40.32
0.159	176.32	86.32	31.1
0.718	259.47	38.95	31.1
0.533	716.84	152.63	35.71
0.808	758.42	67.37	12.65
0.468	550.53	152.63	14.96
0.492	716.84	190.53	14.96
0.834	758.42	171.58	3.43
0.341	10.0	124.21	1.12
0.718	508.95	67.37	28.79
0.224	134.74	124.21	8.04
0.01	176.32	152.63	28.79
0.0	10.0	38.95	35.71
0.013	134.74	152.63	21.87
0.65	342.63	67.37	8.04
0.776	134.74	20.0	12.65
0.824	467.37	38.95	21.87
0.0	93.16	143.16	38.01
0.717	342.63	48.42	21.87
0.014	93.16	171.58	14.96
0.084	301.05	162.11	28.79
0.881	716.84	38.95	19.57
0.384	134.74	181.05	3.43
0.679	425.79	86.32	5.73
0.153	51.58	76.84	8.04
0.874	675.26	38.95	26.48
0.965	592.11	29.47	1.12
0.426	384.21	105.26	31.1
0.212	176.32	76.84	38.01
0.549	550.53	114.74	35.71
0.21	342.63	190.53	14.96
0.424	716.84	190.53	26.48
0.071	259.47	181.05	21.87
0.091	134.74	86.32	26.48
0.533	633.68	143.16	17.26
0.348	467.37	152.63	21.87
0.0	51.58	95.79	40.32
0.0	10.0	162.11	17.26
0.584	508.95	133.68	8.04
0.516	259.47	67.37	17.26
0.865	259.47	20.0	3.43
0.968	675.26	57.89	1.12
0.435	93.16	38.95	33.4
0.298	550.53	181.05	28.79
0.603	342.63	67.37	33.4
0.0	217.89	200.0	35.71
0.946	467.37	181.05	1.12
0.0	176.32	190.53	35.71
0.855	425.79	29.47	31.1
0.194	134.74	95.79	12.65
0.959	550.53	57.89	1.12
0.0	10.0	190.53	12.65
0.843	758.42	124.21	3.43
0.672	758.42	114.74	24.18
0.59	758.42	152.63	14.96
0.219	93.16	124.21	5.73
0.811	550.53	48.42	35.71
0.884	342.63	20.0	10.34
0.038	93.16	67.37	40.32
0.503	800.0	181.05	38.01
0.427	301.05	190.53	5.73
0.421	384.21	143.16	10.34
0.935	675.26	20.0	40.32
0.627	176.32	38.95	26.48
0.011	51.58	181.05	10.34
0.788	467.37	76.84	3.43
0.341	425.79	181.05	12.65
0.649	633.68	105.26	14.96
0.441	675.26	171.58	31.1
0.0	134.74	200.0	31.1
0.0	134.74	171.58	28.79
0.403	93.16	95.79	3.43
0.71	633.68	124.21	5.73
0.846	800.0	162.11	3.43
0.783	675.26	67.37	28.79
0.953	425.79	20.0	1.12
0.035	134.74	105.26	26.48
0.504	550.53	133.68	17.26
0.454	675.26	171.58	24.18
0.005	10.0	76.84	10.34
0.856	550.53	48.42	3.43
0.033	134.74	181.05	14.96
0.737	550.53	67.37	21.87
0.201	550.53	200.0	38.01
0.427	550.53	143.16	35.71
0.535	508.95	114.74	17.26
0.543	592.11	124.21	40.32
0.91	467.37	20.0	17.26
0.52	467.37	105.26	35.71
0.746	800.0	143.16	5.73
0.637	716.84	124.21	14.96
0.881	716.84	38.95	40.32
0.505	342.63	114.74	8.04
0.085	342.63	190.53	26.48
0.197	51.58	162.11	3.43
0.0	10.0	57.89	19.57
0.558	675.26	143.16	17.26
0.186	51.58	67.37	8.04
0.252	259.47	105.26	24.18
0.868	800.0	48.42	24.18
0.004	51.58	57.89	40.32
0.032	10.0	190.53	3.43
0.531	800.0	171.58	38.01
0.425	384.21	105.26	33.4
0.291	10.0	20.0	12.65
0.234	508.95	181.05	33.4
0.287	217.89	86.32	24.18
0.632	675.26	114.74	21.87
0.9	217.89	29.47	1.12
0.833	758.42	181.05	3.43
0.48	467.37	133.68	12.65
0.932	384.21	133.68	1.12
0.638	800.0	133.68	24.18
0.058	134.74	86.32	33.4
0.622	425.79	76.84	28.79
0.113	342.63	162.11	31.1
0.758	217.89	29.47	19.57
0.893	800.0	38.95	31.1
0.487	425.79	105.26	21.87
0.105	467.37	200.0	40.32
0.866	633.68	38.95	12.65
0.617	800.0	171.58	10.34
0.789	592.11	57.89	26.48
0.079	176.32	114.74	24.18
0.589	758.42	143.16	38.01
0.0	51.58	162.11	21.87
0.156	134.74	171.58	8.04
0.565	467.37	95.79	38.01
0.692	675.26	95.79	40.32
0.508	633.68	143.16	26.48
0.225	467.37	181.05	26.48
0.793	508.95	86.32	3.43
0.325	425.79	190.53	12.65
0.019	93.16	133.68	17.26
0.501	716.84	171.58	19.57
0.002	93.16	105.26	31.1
0.363	550.53	162.11	28.79
0.474	425.79	105.26	40.32
0.617	758.42	133.68	26.48
0.588	384.21	76.84	31.1
0.417	425.79	162.11	10.34
0.521	467.37	105.26	28.79
0.011	51.58	114.74	14.96
0.654	592.11	95.79	17.26
0.615	592.11	105.26	33.4
0.893	259.47	200.0	1.12
0.561	758.42	152.63	38.01
0.504	633.68	143.16	40.32
0.461	51.58	29.47	10.34
0.0	10.0	190.53	10.34
0.001	51.58	95.79	24.18
0.763	425.79	48.42	31.1
0.238	301.05	114.74	31.1
0.71	716.84	95.79	24.18
0.097	342.63	152.63	40.32
0.0	10.0	67.37	26.48
0.868	675.26	57.89	3.43
0.0	10.0	162.11	38.01
0.0	10.0	190.53	38.01
0.922	550.53	20.0	12.65
0.0	93.16	124.21	35.71
0.409	675.26	181.05	31.1
0.451	217.89	76.84	10.34
0.0	10.0	105.26	35.71
0.542	217.89	143.16	3.43
0.361	259.47	86.32	26.48
0.718	508.95	67.37	31.1
0.718	716.84	95.79	12.65
0.973	675.26	20.0	1.12
0.364	425.79	124.21	40.32
0.0	10.0	181.05	31.1
0.331	93.16	48.42	17.26
0.584	93.16	29.47	21.87
0.551	217.89	133.68	3.43
0.453	176.32	57.89	17.26
0.434	342.63	95.79	24.18
0.97	633.68	20.0	1.12
0.693	301.05	48.42	10.34
0.534	758.42	162.11	28.79
0.844	675.26	48.42	40.32
0.75	633.68	95.79	5.73
0.857	259.47	20.0	8.04
0.667	716.84	143.16	8.04
0.763	425.79	48.42	38.01
0.523	259.47	67.37	14.96
0.328	217.89	76.84	40.32
0.866	467.37	29.47	19.57
0.576	467.37	171.58	5.73
0.91	467.37	20.0	21.87
0.076	176.32	171.58	14.96
0.941	425.79	95.79	1.12
0.606	633.68	114.74	38.01
0.645	633.68	105.26	17.26
0.622	716.84	124.21	31.1
0.35	425.79	143.16	19.57
0.866	467.37	29.47	35.71
0.287	301.05	171.58	10.34
0.872	301.05	20.0	17.26
0.025	93.16	86.32	26.48
0.615	800.0	143.16	21.87
0.763	425.79	48.42	28.79
0.579	259.47	57.89	19.57
0.775	550.53	57.89	14.96
0.693	675.26	95.79	19.57
0.0	10.0	124.21	14.96
0.442	259.47	143.16	5.73
0.91	716.84	29.47	31.1
0.663	550.53	86.32	33.4
0.537	508.95	133.68	10.34
0.502	716.84	162.11	35.71
0.481	384.21	95.79	33.4
0.861	758.42	48.42	21.87
0.968	675.26	67.37	1.12
0.519	758.42	171.58	21.87
0.304	425.79	143.16	26.48
0.537	800.0	190.53	14.96
0.789	592.11	57.89	17.26
0.441	592.11	152.63	26.48
0.64	384.21	67.37	28.79
0.922	342.63	162.11	1.12
0.071	342.63	162.11	40.32
0.824	716.84	57.89	14.96
0.902	425.79	20.0	31.1
0.25	425.79	162.11	24.18
0.452	675.26	200.0	14.96
0.862	384.21	29.47	3.43
0.259	384.21	152.63	21.87
0.892	592.11	29.47	38.01
0.683	550.53	95.79	8.04
0.357	217.89	76.84	24.18
0.823	592.11	48.42	38.01
0.384	467.37	133.68	31.1
0.051	301.05	162.11	35.71
0.797	758.42	76.84	8.04
0.561	550.53	124.21	12.65
0.0	51.58	152.63	21.87
0.613	134.74	38.95	5.73
0.843	384.21	29.47	12.65
0.038	259.47	162.11	31.1
0.0	10.0	152.63	38.01
0.041	301.05	190.53	28.79
0.185	176.32	124.21	12.65
0.161	51.58	48.42	17.26
0.793	800.0	76.84	12.65
0.828	342.63	29.47	19.57
0.444	93.16	38.95	19.57
0.0	51.58	143.16	38.01
0.087	176.32	190.53	12.65
0.719	716.84	143.16	5.73
0.0	93.16	133.68	35.71
0.022	259.47	152.63	40.32
0.47	716.84	171.58	35.71
0.226	425.79	181.05	21.87
0.031	259.47	200.0	24.18
0.014	10.0	124.21	5.73
0.712	633.68	86.32	12.65
0.034	259.47	152.63	35.71
0.165	134.74	105.26	12.65
0.63	675.26	114.74	35.71
0.976	800.0	38.95	1.12
0.651	550.53	143.16	5.73
0.0	10.0	95.79	40.32
0.55	800.0	171.58	19.57
0.239	259.47	133.68	14.96
0.132	342.63	143.16	40.32
0.96	592.11	181.05	1.12
0.848	176.32	133.68	1.12
0.733	800.0	105.26	10.34
0.046	134.74	95.79	28.79
0.723	675.26	86.32	35.71
0.12	51.58	124.21	5.73
0.063	259.47	133.68	38.01
0.0	176.32	171.58	40.32
0.54	592.11	143.16	12.65
0.72	592.11	76.84	21.87
0.651	716.84	114.74	33.4
0.0	51.58	162.11	19.57
0.769	217.89	29.47	5.73
0.004	93.16	124.21	24.18
0.64	800.0	133.68	21.87
0.004	93.16	105.26	28.79
0.322	467.37	143.16	40.32
0.386	592.11	162.11	40.32
0.824	467.37	38.95	26.48
0.093	259.47	200.0	17.26
0.28	134.74	67.37	17.26
0.43	508.95	143.16	19.57
0.547	592.11	124.21	24.18
0.723	675.26	86.32	33.4
0.525	716.84	162.11	19.57
0.843	800.0	190.53	3.43
0.0	10.0	190.53	21.87
0.701	425.79	67.37	8.04
0.085	301.05	143.16	38.01
0.11	217.89	133.68	21.87
0.0	51.58	133.68	40.32
0.0	51.58	152.63	31.1
0.459	342.63	95.79	17.26
0.103	259.47	190.53	17.26
0.645	508.95	86.32	14.96
0.094	176.32	95.79	33.4
0.096	93.16	171.58	8.04
0.115	301.05	190.53	19.57
0.547	675.26	152.63	14.96
0.815	675.26	57.89	10.34
0.475	425.79	105.26	33.4
0.494	550.53	133.68	19.57
0.174	384.21	162.11	28.79
0.331	508.95	171.58	21.87
0.66	342.63	57.89	35.71
0.244	217.89	124.21	12.65
0.33	592.11	200.0	21.87
0.645	716.84	133.68	10.34
0.519	592.11	152.63	12.65
0.743	93.16	143.16	1.12
0.068	176.32	105.26	31.1
0.553	508.95	152.63	8.04
0.289	176.32	181.05	5.73
0.0	10.0	76.84	28.79
0.071	342.63	200.0	26.48
0.001	134.74	171.58	26.48
0.945	800.0	20.0	24.18
0.236	93.16	114.74	5.73
0.535	176.32	48.42	19.57
0.006	134.74	181.05	21.87
0.041	259.47	143.16	38.01
0.778	675.26	86.32	5.73
0.49	508.95	200.0	8.04
0.336	176.32	143.16	5.73
0.641	384.21	67.37	19.57
0.668	51.58	67.37	1.12
0.745	93.16	133.68	1.12
0.0	10.0	76.84	38.01
0.753	675.26	76.84	40.32
0.827	716.84	143.16	3.43
0.726	716.84	95.79	10.34
0.966	675.26	171.58	1.12
0.51	301.05	76.84	17.26
0.447	259.47	76.84	19.57
0.898	633.68	29.47	31.1
0.64	633.68	105.26	26.48
0.214	425.79	152.63	40.32
0.436	93.16	38.95	28.79
0.425	633.68	200.0	14.96
0.228	10.0	29.47	5.73
0.0	176.32	200.0	40.32
0.658	384.21	67.37	10.34
0.313	425.79	133.68	38.01
0.156	217.89	124.21	19.57
0.272	301.05	181.05	10.34
0.787	508.95	57.89	5.73
0.52	467.37	105.26	33.4
0.517	716.84	162.11	21.87
0.849	176.32	124.21	1.12
0.739	425.79	105.26	3.43
0.391	716.84	200.0	28.79
0.128	217.89	190.53	12.65
0.902	425.79	20.0	26.48
0.419	134.74	76.84	5.73
0.465	425.79	114.74	17.26
0.759	217.89	29.47	10.34
0.703	800.0	114.74	12.65
0.003	217.89	200.0	31.1
0.283	301.05	105.26	35.71
0.892	592.11	29.47	40.32
0.585	633.68	133.68	12.65
0.77	633.68	67.37	24.18
0.591	800.0	152.63	21.87
0.639	633.68	105.26	31.1
0.916	301.05	67.37	1.12
0.0	93.16	171.58	28.79
0.887	758.42	38.95	24.18
0.952	508.95	152.63	1.12
0.893	800.0	38.95	26.48
0.008	10.0	152.63	5.73
0.203	176.32	105.26	14.96
0.08	342.63	162.11	38.01
0.291	633.68	200.0	38.01
0.817	800.0	67.37	31.1
0.894	259.47	162.11	1.12
0.008	176.32	171.58	26.48
0.463	217.89	105.26	5.73
0.66	342.63	57.89	24.18
0.826	550.53	48.42	5.73
0.978	800.0	20.0	1.12
0.395	592.11	162.11	33.4
0.03	51.58	190.53	8.04
0.292	384.21	133.68	26.48
0.212	384.21	143.16	35.71
0.665	384.21	190.53	3.43
0.181	425.79	181.05	26.48
0.391	134.74	171.58	3.43
0.008	10.0	48.42	14.96
0.738	716.84	86.32	40.32
0.763	425.79	48.42	19.57
0.003	51.58	152.63	14.96
0.127	93.16	105.26	10.34
0.767	716.84	76.84	31.1
0.747	342.63	48.42	5.73
0.463	176.32	57.89	14.96
0.809	425.79	38.95	17.26
0.942	425.79	86.32	1.12
0.274	425.79	181.05	17.26
0.72	592.11	76.84	19.57
0.141	342.63	143.16	38.01
0.109	93.16	114.74	10.34
0.358	633.68	181.05	38.01
0.142	134.74	76.84	26.48
0.0	10.0	48.42	28.79
0.877	217.89	114.74	1.12
0.582	508.95	190.53	5.73
0.806	550.53	86.32	3.43
0.824	716.84	57.89	33.4
0.755	592.11	67.37	33.4
0.376	716.84	200.0	35.71
0.474	467.37	114.74	33.4
0.282	508.95	181.05	24.18
0.67	134.74	29.47	10.34
0.64	384.21	67.37	31.1
0.64	384.21	67.37	26.48
0.44	758.42	190.53	40.32
0.774	550.53	57.89	21.87
0.975	758.42	29.47	1.12
0.308	342.63	124.21	21.87
0.578	467.37	124.21	8.04
0.203	301.05	171.58	14.96
0.181	51.58	38.95	38.01
0.001	51.58	171.58	17.26
0.755	592.11	67.37	40.32
0.508	384.21	181.05	5.73
0.679	217.89	38.95	40.32
0.204	134.74	105.26	10.34
0.868	800.0	48.42	12.65
0.754	800.0	105.26	8.04
0.535	800.0	171.58	26.48
0.004	10.0	200.0	5.73
0.586	675.26	143.16	12.65
0.852	716.84	48.42	12.65
0.214	259.47	162.11	12.65
0.599	508.95	95.79	21.87
0.455	425.79	181.05	8.04
0.805	384.21	38.95	5.73
0.843	384.21	29.47	38.01
0.801	134.74	190.53	1.12
0.386	301.05	124.21	10.34
0.648	259.47	48.42	40.32
0.061	93.16	67.37	33.4
0.817	467.37	57.89	3.43
0.595	716.84	162.11	10.34
0.792	633.68	190.53	3.43
0.969	716.84	200.0	1.12
0.445	425.79	114.74	21.87
0.653	467.37	76.84	26.48
0.954	508.95	76.84	1.12
0.553	134.74	38.95	24.18
0.887	758.42	38.95	31.1
0.404	550.53	152.63	26.48
0.225	550.53	190.53	40.32
0.738	716.84	86.32	33.4
0.104	93.16	162.11	8.04
0.841	800.0	67.37	5.73
0.424	259.47	114.74	8.04
0.674	716.84	200.0	5.73
0.643	384.21	67.37	17.26
0.044	134.74	200.0	12.65
0.415	592.11	190.53	14.96
0.329	508.95	162.11	26.48
0.0	134.74	181.05	31.1
0.388	467.37	133.68	28.79
0.52	425.79	200.0	5.73
0.001	51.58	152.63	17.26
0.29	301.05	133.68	14.96
0.915	758.42	29.47	26.48
0.609	467.37	86.32	40.32
0.503	675.26	152.63	38.01
0.723	675.26	86.32	19.57
0.721	259.47	38.95	10.34
0.552	134.74	38.95	28.79
0.358	134.74	57.89	17.26
0.579	800.0	200.0	10.34
0.458	633.68	200.0	12.65
0.642	508.95	86.32	17.26
0.881	716.84	38.95	26.48
0.44	134.74	48.42	21.87
0.172	134.74	67.37	38.01
0.044	93.16	143.16	12.65
0.051	217.89	143.16	26.48
0.616	592.11	105.26	24.18
0.306	259.47	95.79	24.18
0.0	134.74	133.68	40.32
0.257	342.63	152.63	17.26
0.895	259.47	152.63	1.12
0.66	342.63	57.89	33.4
0.54	675.26	143.16	24.18
0.784	675.26	67.37	14.96
0.272	301.05	114.74	24.18
0.758	508.95	57.89	17.26
0.611	800.0	143.16	38.01
0.613	592.11	143.16	8.04
0.224	134.74	181.05	5.73
0.027	93.16	171.58	12.65
0.866	633.68	38.95	40.32
0.416	425.79	124.21	19.57
0.0	51.58	171.58	33.4
0.796	716.84	67.37	35.71
0.441	93.16	38.95	21.87
0.331	217.89	133.68	8.04
0.019	342.63	200.0	40.32
0.686	301.05	48.42	40.32
0.956	550.53	133.68	1.12
0.509	633.68	190.53	10.34
0.025	10.0	67.37	8.04
0.776	134.74	20.0	19.57
0.662	800.0	143.16	10.34
0.084	217.89	133.68	24.18
0.802	633.68	57.89	40.32
0.001	93.16	124.21	28.79
0.734	467.37	143.16	3.43
0.588	384.21	76.84	33.4
0.0	10.0	95.79	19.57
0.664	800.0	171.58	8.04
0.681	716.84	105.26	26.48
0.034	134.74	86.32	40.32
0.081	176.32	133.68	19.57
0.273	134.74	76.84	12.65
0.493	425.79	105.26	19.57
0.406	217.89	76.84	14.96
0.008	51.58	152.63	12.65
0.007	134.74	114.74	33.4
0.302	342.63	162.11	12.65
0.532	176.32	48.42	33.4
0.374	384.21	124.21	19.57
0.273	384.21	133.68	31.1
0.288	259.47	95.79	28.79
0.946	467.37	171.58	1.12
0.002	10.0	152.63	8.04
0.164	259.47	152.63	17.26
0.787	675.26	67.37	10.34
0.0	51.58	181.05	21.87
0.875	550.53	38.95	3.43
0.362	384.21	114.74	38.01
0.548	342.63	76.84	21.87
0.342	633.68	200.0	24.18
0.739	716.84	124.21	5.73
0.701	384.21	124.21	3.43
0.603	675.26	124.21	21.87
0.47	550.53	133.68	33.4
0.282	592.11	200.0	28.79
0.0	10.0	124.21	33.4
0.666	134.74	38.95	3.43
0.221	217.89	133.68	12.65
0.666	800.0	124.21	19.57
0.766	800.0	86.32	35.71
0.015	93.16	76.84	38.01
0.758	508.95	57.89	31.1
0.787	259.47	29.47	21.87
0.876	508.95	29.47	38.01
0.428	675.26	200.0	17.26
0.02	51.58	86.32	17.26
0.603	342.63	67.37	26.48
0.787	259.47	29.47	17.26
